State,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
United States,56516,53718,52850,52666,52751,53568,54988,55376,57423,56663,56224,55629,55823,55871,56531,57790,57909,56510,54506,53407,52664,51065,50478,50725,51145,52684,53367,52432,52032,51388,49631,48720
Alabama,44509,42327,42107,44869,44884,44499,44166,48962,48254,44615,45088,45961,48010,49540,47069,48754,51584,52704,47044,45597,40169,43044,40527,42731,41332,41096,39295,38418,39400,39489,38525,37624
Alaska,75112,67707,62209,65705,60525,62887,68054,70443,72010,66323,67833,69092,66801,69527,76793,72733,73135,73668,70692,79419,74113,71804,69367,69213,68947,69144,66476,63753,66352,64719,73090,70327
Arizona,52248,49311,51489,48564,51240,50981,50528,51645,53973,54848,54912,55017,53050,52347,57169,54753,52643,53901,48224,47606,47699,49528,49297,48609,52182,51419,52714,50911,53406,52632,50175,46568
Arkansas,42798,44974,40619,40279,43527,41948,40363,43578,46634,43563,44490,43897,41240,42668,44631,40872,42237,40204,38535,40813,39895,40462,37226,39542,39786,40091,39570,38849,37589,38659,36671,34068
California,63636,60557,58537,58863,56242,59011,62011,62764,63712,65031,62813,61763,63532,62496,63270,64432,62083,59488,58466,58402,57197,55919,55054,57790,57152,58573,60942,58329,60188,59877,56698,54962
Colorado,66596,61010,64482,59105,61788,65480,61786,67089,69893,65475,61228,63850,64356,63625,66129,66392,68554,67720,63679,61620,62911,59879,55725,53785,53476,54074,49490,50485,52861,56125,59221,56079
Connecticut,72889,70242,68969,66323,68939,71747,71641,71205,73322,73359,68979,69138,70832,70334,71416,69051,71992,67588,64787,63379,62195,65045,63849,67622,71565,68391,78135,69742,65611,67537,65332,65099
Delaware,57756,57588,53135,50555,57605,60023,57570,55815,62403,61644,62182,60291,63170,65411,66403,69317,66350,60249,63384,59150,53981,56777,58271,59073,55320,54199,59205,58749,58387,52893,48290,56118
D.C.,70071,68356,61739,67354,58228,61887,58705,61196,58052,56987,54606,54521,58047,51472,55114,56733,55026,48587,46927,48101,47521,47665,44117,50081,50736,48196,49390,51500,54816,50201,44289,44357
Florida,48825,46193,48726,47560,47535,47904,50408,49381,52349,53695,52175,50862,50222,50094,48757,53477,50986,50732,47804,46107,45971,46364,46130,45283,46266,46952,48159,48929,48894,47161,44850,43003
Georgia,50768,49612,48271,49676,48450,47960,47878,50889,55603,58007,55739,51426,54689,56570,56997,57668,56100,56190,54002,48898,52700,49804,51160,47680,46198,48493,50849,51163,53336,50300,44232,43436
Hawaii,64514,71305,62485,58081,62228,64725,61475,67726,73186,71086,72317,70571,66797,62319,63507,70942,63328,59332,60293,62857,66226,66878,68932,69728,63233,68481,64683,63600,69924,59863,60858,62765
Idaho,51624,53499,52675,49471,50016,51148,51675,52202,56224,54326,53615,55659,54604,49687,51194,51763,50942,53305,49202,52228,50501,49913,50105,45870,44337,44524,45517,45162,41439,42826,43627,45844
Illinois,60413,54979,58199,53410,53365,55147,58405,58625,60022,57216,58739,57816,58188,56268,61810,63397,65926,62749,60807,59519,58839,55524,53090,52240,54130,57257,57787,56860,54075,54719,52262,51626
Indiana,51983,48115,51439,47650,46839,50158,48944,51212,54245,53379,51504,53113,54672,54077,54056,56242,58111,57739,57281,52888,51596,44092,47625,47238,45989,47379,47814,50637,44961,46911,47649,49491
Iowa,60855,57876,55817,55169,52925,53286,56031,55199,55909,56575,56435,54446,53331,54080,54855,56415,58481,53798,49760,49971,54894,52355,46313,47591,48475,48013,48491,46809,44304,46356,43976,43173
Kansas,54865,53505,52388,51619,48633,50066,49399,52706,55439,53549,51007,51529,57001,56148,55443,56509,53145,53350,53719,49032,46892,44826,48102,50245,49734,52638,49594,49237,51078,49384,47886,53532
Kentucky,42387,42835,42897,42414,42003,44684,47131,45298,45099,46417,44540,44683,47599,48432,51456,49911,48008,52683,49272,48774,46071,42093,39386,38885,40344,43600,42986,38339,41275,41020,36482,38428
Louisiana,45922,42455,40317,40348,42848,42723,50190,43553,47226,42894,45192,45710,43180,44804,44609,42277,46466,46119,48990,45537,43195,40638,42514,42120,42950,39421,42207,39475,42625,43117,44505,41186
Maine,50756,51769,51000,50747,52370,52106,52475,51991,54749,53655,53308,51859,47827,48552,49013,51289,55299,51794,48271,52209,52327,47982,44334,49038,47312,48322,52103,50847,47119,48348,43118,44879
Maryland,73594,76253,66406,74157,72587,69793,70906,70136,75024,74845,73441,71651,67416,74313,71661,75056,74286,72686,68764,66199,63429,62040,64533,61598,62734,68368,66494,70395,69820,63167,63327,64571
Massachusetts,67861,63224,64067,65713,66724,66242,65589,66403,66831,65044,67986,65272,65664,65681,69952,64345,62618,61538,61897,59429,59616,64100,59887,60201,60632,63776,66623,63964,64371,62620,59274,58596
Michigan,54203,52065,49657,51631,51512,50307,50809,54809,56437,57187,55747,53022,58019,56275,60305,62637,65583,60777,57064,59024,56296,55845,52775,53425,54525,52673,56818,56760,55309,54913,50942,49915
Minnesota,68730,67321,61975,63792,60935,56878,61962,60464,66368,66079,65799,70398,68072,71961,70525,74665,66934,69649,62694,61681,58625,53249,54423,51296,50047,55362,55729,56018,56067,54579,50131,53112
Mississippi,40037,35562,41566,37825,43304,41484,38751,40122,42615,40831,39899,43610,42176,40685,40377,47205,46215,42319,41977,40142,41014,40201,35856,34058,33063,35503,36771,34986,36962,34083,34490,33538
Missouri,59196,56695,51193,51372,48240,49808,53875,50681,52590,52405,52171,52872,56395,56355,55341,62066,58887,58422,53840,51560,53822,47783,46344,45302,47410,48090,48920,45149,47358,45254,46102,45155
Montana,51395,51161,44906,46545,42447,44876,44671,47227,49904,48321,45285,42607,43954,45893,43008,45110,44166,45889,43027,43162,42898,43732,42770,43918,42149,41128,43741,42814,40878,41957,42524,42462
Nebraska,60474,56935,54717,53883,58612,57077,54787,55844,56213,56597,58162,54942,56668,56381,58383,57460,54964,52917,51099,51183,50892,50321,50102,49751,50166,48354,48591,48453,46456,44938,45808,46507
Nevada,52008,49932,46164,48863,49577,55660,56819,60265,61796,61460,58509,59230,58227,59230,60782,62976,58998,57776,57229,57993,55768,56774,57867,52831,55917,56344,54169,53892,53664,54112,48908,56025
New Hampshire,75675,73481,72573,70011,69429,72437,70845,72850,77249,72849,69159,71290,71608,72882,68718,70089,65535,65335,60387,59298,60539,55783,61341,65295,61172,71795,69293,66684,64565,63052,55483,56325
New Jersey,68357,65318,62865,68847,65696,68453,71559,71892,69169,80007,76907,69358,72224,71890,69307,69372,70770,72410,70731,71428,67884,66918,65439,64573,67992,68151,72225,69885,68364,65460,65101,60372
New Mexico,45119,46740,42866,44827,44244,49065,48101,46348,50705,47055,47269,49641,45239,46713,44344,48298,46352,45840,44314,37748,40169,42583,43235,42817,45057,44055,41729,37162,41445,40960,42917,44840
New York,58005,54372,54787,49221,53364,54117,55473,55550,55950,56688,57256,56024,55140,55288,56379,56075,56903,54343,52728,53283,51045,50487,51215,51412,53977,55584,58149,55687,52677,51652,49675,47876
North Carolina,50797,46838,41931,42896,47641,47648,46293,47260,49741,46784,51042,50490,48041,48106,51088,52735,53011,52082,52790,53571,49423,47662,46567,45981,45589,46325,48752,47020,45442,45122,45077,44707
North Dakota,57415,60800,53815,57568,59397,55449,55318,54636,53962,48253,51207,49212,52075,47691,47917,49541,46478,44039,46634,47355,44957,44756,45432,44637,43957,44451,46579,46398,45074,44393,44560,45146
Ohio,53301,49701,47212,45809,47053,49883,50682,51667,56127,53958,53648,54024,56083,56234,55938,59128,56192,56568,53223,51267,54001,50418,50550,51997,50575,52807,53580,53424,51457,51838,52900,50259
Oklahoma,47077,47253,44545,49971,51065,46858,50681,50761,49402,45656,45688,49707,46266,48031,47670,44636,46507,49014,46178,41286,40664,42719,42430,41863,43227,42903,43695,45580,43307,43237,44560,45966
Oregon,60834,58943,57294,53448,54302,55010,54238,56944,57427,55358,53594,51438,53658,55072,55253,58491,57799,56774,54862,53407,56216,49786,53544,52862,51254,51519,52671,53439,49990,51132,46008,46511
Pennsylvania,60389,55236,54898,53581,52599,52522,53215,56586,55370,56987,56193,55343,55327,55989,58233,58046,53728,56699,55260,52514,53357,50752,50081,49477,51554,51034,52968,51502,50761,49138,48073,44223
Rhode Island,55701,58700,58826,57877,51675,56120,57040,58611,61970,63170,60057,60148,57618,55882,61210,58075,60788,59127,51253,55655,54647,50533,54143,50387,52351,56247,55616,57472,56487,54779,51747,46974
South Carolina,46360,44981,44516,45836,42243,45330,45404,46406,50542,46572,48826,48548,49587,49815,50518,51707,51884,48345,50465,52162,44929,47238,42096,45662,46624,50558,43937,49174,50012,45342,42103,44142
South Dakota,55065,53114,55408,51012,49767,49302,50624,56804,53062,53402,52371,51580,50931,49895,53108,50200,50982,47646,43737,44429,45713,47059,44817,43478,41830,43232,44509,42936,42229,41070,38123,42186
Tennessee,47330,43766,43244,44384,44557,41953,44759,43706,47092,47837,47826,47772,48355,48785,47903,46926,51970,49543,45125,46331,44843,45328,40559,40264,41514,39750,41745,40166,42285,37681,37358,36476
Texas,56473,53937,53957,53604,51689,51383,52445,51179,52645,50910,50272,51944,50608,52894,54700,53137,55052,52002,51663,49765,49516,48677,46416,46283,47083,49666,47792,48076,49357,49871,49893,50043
Utah,66258,63456,64071,60226,58483,61640,64615,68844,61191,64218,66525,63832,63499,63054,63377,65442,65528,64378,63004,55733,56380,56529,57822,56710,47563,53034,56711,50676,52967,54244,53035,50115
Vermont,59494,60778,55804,57378,54656,60800,57795,55820,54173,61107,61538,59387,55749,56649,54612,54493,59173,57218,51631,48691,52275,56665,50194,54233,49497,54716,57778,55828,50743,50773,54636,49074
Virginia,61486,66231,68806,66721,65989,65625,66835,68236,67629,67147,63006,64170,70597,65386,67258,64910,65020,63004,63273,59003,55981,59585,58868,63246,61350,61710,62990,62876,59889,61332,59740,57653
Washington,67243,59136,61160,64197,59913,61055,66715,62342,66393,64330,61467,62641,61222,59526,56882,58527,64707,68915,65637,55188,54970,53074,57611,56129,57671,56500,59008,62258,54544,55483,50433,54375
West Virginia,42824,39597,40947,44960,44074,46503,44729,41826,48116,45164,44232,41876,42221,38679,39724,40478,41689,38808,40488,37991,38452,37295,36227,33563,39297,38949,40021,37272,34355,33982,33586,36609
Wisconsin,55425,58147,56227,54794,54863,54737,56601,56364,58617,60767,54190,57383,59626,60475,60705,62054,64983,60059,58321,60192,63296,56010,51327,55149,52855,54035,53768,56958,52647,54552,48849,45086
Wyoming,60925,55754,56677,59371,57446,56748,57963,58716,55721,55299,54273,56963,54840,52385,53172,54541,53003,51227,49230,46577,48728,52452,47572,50018,49318,51834,54503,50880,55085,48626,46401,51765